Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Shillong to Tura (Meghalaya),https://www.redbus.in/bus-tickets/shillong-to-tura-meghalaya,NETWORK TRAVELS,NON A/C Seater (2+2),16:30,13h 30m,06:00,3.8,650,2 Seats available
Shillong to Guwahati,https://www.redbus.in/bus-tickets/shillong-to-guwahati,RAYAN TRAVELS,Non A/C Seater / Sleeper (2+1),16:00,02h 30m,18:30,3.1,INR 350,14 Seats available
Silchar to Shillong,https://www.redbus.in/bus-tickets/silchar-to-shillong,AR Travels,Non AC Seater (2+2),18:30,10h 00m,04:30,1.5,370,18 Seats available
Hailakandi to Shillong,https://www.redbus.in/bus-tickets/hailakandi-to-shillong,AR Travels,Non AC Seater (2+2),17:30,11h 00m,04:30,1.5,400,18 Seats available
Shillong to Hailakandi,https://www.redbus.in/bus-tickets/shillong-to-hailakandi,Meghalaya Transport Corporation(MTC) - 163369,Tata Non A/C Seater Executive Luxury (2+2),19:15,09h 15m,04:30,3.6,INR 384,20 Seats available
Shillong to Ramkrishnanagar,https://www.redbus.in/bus-tickets/shillong-to-ramkrishnanagar,Meghalaya Transport Corporation(MTC) - 163369,Tata Non A/C Seater Executive Luxury (2+2),19:15,10h 15m,05:30,3.5,INR 425,20 Seats available
Ramkrishnanagar to Shillong,https://www.redbus.in/bus-tickets/ramkrishnanagar-to-shillong,AR Travels,Non AC Seater (2+2),17:00,11h 00m,04:00,1.5,INR 399,40 Seats available
